teencode,fullword
ko,không
kh,không
m,mày
r,rồi
ik,đi
ii,đi
b,bạn
k,kaka
tks,cảm ơn
thg,thằng
h,haha
chs,chơi
j,gì
cal,call
a,anh
e,em
vid,video
đc,được
fb,facebook
ng,người
tk,thằng
mik,mình
lm,làm
ntn,như thế này
cmt,comment
zì,gì
cóa,có
lmj,làm gì
thk,thằng
v,vậy
ôg,ông
dc,được
ch,chưa
ô,ông
azai,anh trai
vk,vợ
kg,không
t,tao
ae,anh em
tr,trời
gê,ghê
bíc,biết
z,vậy
mn,mọi người
mk,mình
qá,quá
bn,bạn
dthw,dễ thương
dth,dễ thương
đêy,đây
cx,cũng
avt,avatar
tưởg,tưởng
ah,à
ngta,người ta
khum,không
hog,không
bik,biết
vd,video
nx,nữa
cj,chị
cg,cũng
đk ,được không
àk,à
đz,đẹp trai
dm,địt mẹ
đm,địt mẹ
ngkhac,người khác
cm,chúng mày
s,sao
vc,vãi cặc
mng,mọi người
cug,cũng
cs,có
vn,Việt Nam
th,thằng
pbvm,phân biệt vùng miền
dz,đẹp trai
nc,nước
sv,súc vật
ms,mới
vcl,vãi cả lồn
cặk,cặc
trol,troll
đg,đang
nhx,nhưng
qá,quá
ac,anh chị
vs,với
tn,tin nhắn
ak,á
cht,chết
db,đầu buồi
bit,biết
gđ,gia đình
đ,đéo
cđm,con đĩ mẹ
ji,gì
đx,được
lsao,làm sao
iu,yêu
đk ,đúng không
đg,đang
trc,trước
hk,hong
zai,trai
chx,chưa
del,đéo
mih,mình
mxh,mạng xã hội
adu,á đù
kq,kết quả
zép,dép
oy,rồi
nyc,người yêu cũ
đag,đang
dk,được
clm,cái lồn mẹ
kb,không biết
nta,người ta
bth,bình thường
zị,vậy
ctrai,con trai
mak,mà
thik,thích
thíc,thích
cgai,con gái
bt,biết
tht,thật
trc,trước
bh,bao giờ
svien,sinh viên
vlon,vãi lồn
vl,vãi lồn
yangho,giang hồ
vnch,Việt Nam Cộng Hòa
xd,xây dựng
ns,nói
hc,học
deo,đéo
dou,đâu
lol,lồn
loz,lồn
đb,đầu buồi
xl,xàm lồn
cl,cái lồn
del,đéo
vcl,vãi cả lồn
ht,hết
xh,xã hội
pl,pháp luật
trog,trong
hs,học sinh
dk,đúng không
wen,quen
zừa,vừa
kbh,không bao giờ
nd,nội dung
zay,vậy
bnhiu,bao nhiêu
nvay,như vậy
nhưg,nhưng
ny,người yêu
helo,hello
nt,nhắn tin
dai,trai
